accolades,aging,alcohol,average_age_of_vines,cheese_pairing,country,density,description,dessert_pairing,fermentation_&_maceration,grape_varietal,harvest_method,legumes_pairing,meat_pairing,mouth_attribute,name,nose_attribute,others_pairing,pasta_pairing,price,producer,product_type,production_method,psata_pairing,region,seafood_pairing,sku,vintage,volume(ml),winemakers,acidity
,8 months,13%,22 years,,NEW ZEALAND,1850 plants per hectare,"Garnet red colour, not too light for a Pinot Noir. The nose presents notes of raspberry, cherry and plum with subtle oak aromas. On the palate, earthy character, long finish, dry with soft tannins. Will match well with New Zealand national dish: Lamb. Also white meats such as meaty fish (salmon, tuna) or poultry.  Vintage in image may vary. Refer to wine facts for current vintage.",,Primary fermentation in stainless steel open top vats. Secondary and ageing in various aged French oak barrels,Pinot Noir,Machine and hand,,"Will match well with New Zealand national dish: Lamb, Poultry","Medium-bodied, Soft Tannin",PAUA BAY 2022 -  Pinot Noir - Marlborough - New Zealand,"Oak, Red Berries, Spices",,,48.0,Paua Bay Wines,Red Wine,,,Marlborough,"Meaty fish (salmon, tuna)",NZ18,2022,,Rebecca Wiffen,Medium Acidity
,"2 years on the barrel, 3 years on the bottle",13.5%,40 years old,,SPAIN,,"Fine ruby red color that's beginning to show some garnet reflections. Elegant aromas of red currants, tobacco and eucalyptus pervade the nose. Full body and intense flavors of cherries, red currants and balsamic touches. The finish is long and enjoyable. Pairs well with roasted meats and pasta dishes.  Vintage in image may vary. Refer to wine facts for current vintage.",,,"Carinena, Garnacha, Tempranillo",Hand-picked,,Pairs well with roasted meats,,MONASTERIO DE LAS VINAS 2017- Gran Reserva - Cariñena DOC - Spain,"Herbal, Mint, Red Berries, Toasted",,Pairs well with pasta dishes in general,48.0,Grandes Vinos,Red Wine,"Total Production of the winery 25,000,000 bottles",,Carinena,,SP21,2017,,Marcelo Morales,Medium Acidity
,Aged for 9 months in older 225L French oak barrels.,14%,20+ years old,,SOUTH AFRICA,3300 vines/ha,"The Mooiplaas Pinotage is a full bodied wine with a deep purple colour. The nose is reminiscent of plums and floral hints, which is typical of this unique South African variety, while the palate is rich and full with a long finish. Overall the wine is soft, juicy and approachable. This wine should evolve well over time, with ample structure and concentration to age well for 8 to 10 years.",,"Fermentation took place over 7 days in closed stainless steel tanks, mixed by pumping over, pressed in horizontal basket press.",Pinotage,Manual,,"Pair with roast chicken, Cape Malay spiced dishes, roast pork, roast lamb, pizza, pasta. Pinotage also works particularly well with flame grilled meats.","Fresh, Full-bodied, Long Finish, Rich, Structured",MOOIPLAAS 2022 - Pinotage  - Stellenbosch - South Africa,"Animal, Dark Fruit, Floral, Spices, Plum, Black Berries",,,48.0,Mooiplaas Wine Estate,,8000,,Stellenbosch,,SA12,2022,,Louis Roos,Medium Acidity
"Vinous 92 Points, China Wine _ Spirits Awards Gold, China Wine and Spirits Award -  Double Gold, Vegan Wine, Women's Wine & Spirits Awards - Double Gold",Aged for up to 12 months prior to bottling with minimal filtration in well-seasoned hogsheads.,14.5%,100 years,,AUSTRALIA,1200 per Hectare,"For too long Grenache has been a backup performer. It is time for our beloved Love Symbol to shine as a solo-artist. Love Symbol's 'autograph' is its soft-yet juicy tannins and cleansing acidity that fill the mouth making you yearn for another performance. Aromas of rich red fruits and plum with fine grained fruit tannins. A wine of stature, elegance, prettiness and poise. Our Love Symbol will make you fall in love. We promise.   Vintage in image may vary. Refer to wine facts for current vintage.",,Primary fermentation takes place in a combination of stainless steel vats and 5 tonne open fermenters after which the wine is assembled into tank.,Grenache,Manually harvested in the Blewitt Springs sub-region of McLaren Vale.,,"Can be paired with virtually any food, but especially well suited to slow-cooked meats, stews and casseroles.","Easy-drinking, Fruity, Medium Length, Medium-bodied, Soft Tannin","ZONTE'S FOOTSTEP ""Love Symbol"" 2022 - Grenache - McLaren Vale - Australia","Dark Fruit, Floral, Fruity, Spices, Plum, Red Fruits",,,48.0,Zonte's Footstep,Red Wine,,,McLaren Vale,,AU148,2022,,Brad Rey,Medium Acidity
Luca Maroni 95 Points,"Aging 9 months in barrels (French and American oak), where the wine undergoes malolactic fermentation, followed by bottle aging.",14.5%,30 years,Excellent with mature hard cheeses.,ITALY,,"Intense deep red colour, almost impenetrable. On the nose recalls red-berries fruits with hints of vanilla, toasted notes and spices which give complexity to the bouquet. The great tannic structure is perfectly balanced on the palate and in aftertaste as well. Pair with grilled meats and mature hard cheeses.",,"Vinification is carried out using the traditional “submerged cap” system, carefully controlled in order to extract delicate tannins and varietal fruit characteristics.",Primitivo,Manual,,Great wine for roasted and grilled meats. Ideal with game dishes.,"Balanced, Full-bodied, Medium Length, Powerful, Spicy, Tannic",CAPO ZAFFERANO 2021 - Primitivo di Manduria - Puglia - Italy,"Juicy, Powerful, Red Berries, Spices, Toasted, Vanilla, Red Fruits",,,48.0,Progetti Agricoli,Red Wine,Traditional viticulture,,Puglia,,IT142,2021,,Mariano Giretti,Medium Acidity
,French oak aging,12.5%,,,AUSTRALIA,,"This wine is full of character with aromas of gooseberry, capsicum, passionfruit, and green bean, interlaced with a barrel ferment complexity. The intense palate retains these characters with the Semillon and wild ferment adding structure and layering and enhancing the very long finish.",Salads,Harvest in the night to preserve freshness.  Fermented in tank with a small portion in new French barriques with high solids and wild yeast.,"Sauvignon Blanc, Semillon",,,Chicken,"Fresh, Long Finish, Medium-bodied, Structured",EVOI 2023 - Sauvignon Blanc Semillon  - Margaret River - Australia,"Buttery, Herbal, Tropical Fruit",,,48.0,Evoi Wines,White Wine,,,Margaret River,"Fresh seafood, White fish",AU158,2023,750ml,Nigel Ludlow,High Acidity
"Jeb Dunnuck 91 Points, Vegan Wine",Aged in vats and barrels for 12 months before bottling.,14.5%,30-40 years,,FRANCE,,"A deep aubergine robe, an intense black-fruit nose of plums and dark cherry and a full, intense presence on the palate. A thread of garrigue (rosemary, thyme, juniper) spice runs from start to finish, which is long and generous.  Vintage in image may vary. Refer to wine facts for current vintage.",,"Maceration time varies according to grape variety: 3 weeks for Grenache, 4 weeks for Syrah, for optimal extraction of aromas and fruit, with temperature control between 28 and 30°C.","Grenache, Syrah",Hand Picked,,This Gigondas marries beautifully with roast pigeon with raisins and a tart garnished with porcini and wild mushrooms mousse,"Long Finish, Medium-bodied, Rich, Structured","GABRIEL MEFFRE ""Sainte Catherine"" 2020 - Gigondas, Rhône Valley - France",Spices,,,49.0,Gabriel Meffre,Red Wine,Traditional,,Rhône Valley,,RH72,2020,750,,Medium Acidity
,They remain in the oak for 10 months so the wine can develop. Every barrel is then tasted and classified; Only the finest are selected to bottle.,12.5%,20 yrs,Pair with soft cheese,AUSTRALIA,,"Complex pure fruit characters of white peach and nectarine are complemented by secondary aromatics of nutty oak. Flavours of stone fruit and hazelnuts at the forefront, followed by grapefruit and lemon curd. Exceptional length and good natural acidity.  Vintage in image may vary. Refer to wine facts for current vintage.",Antipasto,Then they are pressed very gently with the juice allowed to settle before it is transferred to French oak barrels (50% new and 50% old) to allow for different flavors and characteristics to come through in the wine.,Chardonnay,The grapes are handpicked in the cool of the night to protect the delicate fruit before transporting it to the winery.,Pair with pasta,,Long Finish,"NEPENTHE Pinnacle Chardonnay 2021 - Adelaide Hills, South Australia - Australia","Citrus, Nutty, Oak, Stone Fruit",,,49.0,Nepenthe Wines,White Wine,,,"Adelaide Hills, AUSTRALIA, South Australia",Pair with fish,AU174,2021,750,"""James Evers""",Medium Acidity
Wine Enthusiast 91 Points,"Large seasoned old vats for 4 years, then bottled unfined and unfiltered.",20%,>35 Years Old,Pair with blue cheese,PORTUGAL,2000/ha,"Gorgeous, captivating aromas of black fruits, cassis and liquorice, interlaced with delicate notes of mint and succulent, black olives. On the palate, the wine is pure seduction with its concentrated essence of intense, bright, blackberry and black cherry flavours with some kirsch, liquorice and black chocolate also present in the background. The formidable, compact structure is lithe and taut, the fine-grained peppery tannins complemented by incredible freshness that give the wine remarkable balance and poise.",Pair with sweet desserts and dark chocolate,"Alcoholic fermentation stopped with the addition of a neutral grape spirit (77% abv), that raises the alcohol level to 19-20%, thus killing the yeasts. This allows for the natural residual sugar of the grapes to be kept in the wine, giving it its unique richness.",,100% by hand,,,,Smith Woodhouse Late Bottled Vintage Port 2010 - Douro - Portugal,"Mint, Liquorice, Black Berries",,,49.9,Symington Family Estates Vinhos S.A.,,,,Douro,,PO23,2010,750,Charles Symington,Medium Acidity
Gilbert and Gaillard International Challenge Gold,"ONE YEAR IN OAK BARRELS -    50% NEW, 30% 1 YEAR OLD, 20% 2 YEARS OLD",14.5%,25,"Cheeses such as comte, brie, brillat saverin.",FRANCE,6000 F/HA,"Color : Deep carmine, Nose : Intense and complex, reminiscent of red fruit with notes of citrus and vanilla flowers, Taste : A well balanced, unctuous and generous wine. A touch of violet for a smooth finish on round tannins.",,2 WEEKS FERMENTATION PLUS 3 WEEKS MACERATION,"Cabernet Sauvignon, Merlot",HAND AND MACHINE,,"Goes well with roasted lamb, steak, rotisserie.","Balanced, Round, Smooth",CHÂTEAU GRAND BERT 2022 - Saint-Émilion Grand Cru - Bordeaux - France,"Floral, Plum, Vanilla",,,49.9,,Red Wine,,,Bordeaux,,BO267,2022,750ml,Thomas POITEVIN,Medium Acidity
,3 months in 20.000L Foudres and 12 months in French (100%) oak barrels (225L),14.5%,22 years,Spicy aged cheeses,SPAIN,2500 vines per hectare,"Cherry red colour with intense deep-blue shades and brilliant layer. High nose intensity with a predominance of red ripe fruit, and a sensation of sweetness contributed by oak barrels. Tasty in mouth, with round tannins and pleasant freshness to the palate. Tasty, velvety ending, great concentration of fruit.  Vintage in image may vary. Refer to wine facts for current vintage.",,Pre-fermentative cold maceration. Spontaneous fermentation with only wild yeasts at  28ºC.,Tempranillo,Hand-harvested,,"Pair with roasted meats, game, char-grilled or bbq meats","Fresh, Medium-bodied, Round","PRADOREY ""Crianza"" 2020 - Tempranillo - Ribera Del Duero - Spain","Oak, Red Fruits",,,50.0,REAL SITIO DE VENTOSILLA S.A.,Red Wine,6000kg per hectare,,Castilla y Leon,,SP66,2020,750,"Francisco Marti­n San Juan, Technical Director",Medium Acidity
,12mths oak aging in French oak hogsheads,14%,50 Years,,AUSTRALIA,Typical Barossa,"Medium deep purple in colour. Cedar and sandalwood spice, red and black cherry fruit, vibrant notes of raspberry and red licorice, wild strawberry and purple jube. Slippery and seductive with a bright, fresh plate. Balanced acidity, with flavours of black cherry, both purple and blue forest fruits. Graphite and slate on the finish.  Vintage in image may vary. Refer to wine facts for current vintage.",,"Upon receival, the single vineyard parcel was immediately crushed and destemmed (50% whole berry), and let to cold soak for 24 hours before commencement of fermentation. Fermentation on skins for 10 days, then pressed to tank to complete primary ferment.",Shiraz,"Harvested between the 5th to the 17th March, 2020, hand picked and transported 9 hours to the Calabria Family wines Brayne road winery on a 10'C refrigerated truck.",,Pair with grass-fed ribeye with pan-seared forest mushroom,"Fruity, Full-bodied, Oaky, Powerful, Rich, Structured, Tannic","CALABRIA ""3 Bridges"" 2021 - Shiraz - Barossa Valley - Australia","Chocolate, Dark Fruit, Oak, Red Berries, Spices, Plum",,,50.0,Calabria Family Wines,Red Wine,15 Tonnes,,South Australia,,AU153,2021,750,Multiple Winemakers,Medium Acidity
"Organic Wine, Natural Wine",,14.00%,,,ARGENTINA,,"Medium yellow with greenish reflections. It is a wine that stands out for its muscatel aromas. It presents aromas of white fruits such as peaches, floral aromas of rose petals, jasmine and geraniums. It closes with citrus aromas of lemon peel.  Vintage in image may vary. Refer to wine facts for current vintage.",,"Natural Wines are those that have the minimum possible intervention of man. Sulphites are not added. Natural yeasts are used, and the wine is bottled unfiltered. Classic fermentation with indigenous yeasts and maceration for 15 days.",Torrontes,Manual,,,,"SANTA JULIA NATURALES ""La Oveja"" 2023 - Torrontés - Argentina",,,,50.0,Bodega Zuccardi Valle de Uco,White Wine,,,Mendoza,,AR64,2023,750,Ruben Ruffo,Medium Acidity
,In stainless steel tanks,15%,30,,ITALY,3000/3500 vines/hectar on average,"Harmonious bouquet with redberries and blackberries aromas. On the palate, fine and important wine, very well balanced, with soft and sweet tannins at the end.  Vintage in image may vary. Refer to wine facts for current vintage.",,In stainless steel tanks at a controlled temperature of 28°C,Sangiovese,By hand,Pairs well with pasta.,"Goes well with beef, lamb and game (deer, venison).",,"BISCARDO ""Enigma"" 2022 - Sangiovese Rubicone Appassimento - Italy",,,,50.0,Mabis Srl,Red Wine,From 13500 to 18000 kg/ha on average,,EMILIA ROMAGNA,,IT206,2022,750,Martino Biscardo,High Acidity
"Organic Wine, Natural Wine",,14.50%,,,ARGENTINA,,Very intense colour with marked violet tones. Typical aromas of Malbec. Frank and fresh fruit reminiscent of cherry and plums.  Vintage in image may vary. Refer to wine facts for current vintage.,,"Natural Wines are those that have the minimum possible intervention of man. Sulphites are not added. Natural yeasts are used, and the wine is bottled unfiltered. Classic fermentation with indigenous yeasts and maceration for 15 days.",Malbec,Manual,,,,"SANTA JULIA NATURALES ""El Burro"" 2023 - Malbec - Argentina",,,,50.0,Bodega Zuccardi Valle de Uco,Red Wine,,,Mendoza,,AR65,2023,750,Ruben Ruffo,Medium Acidity
,14 months in French oak barrels,12%,50 yrs old,,FRANCE,"9,100 vines/ha","Nice ruby-crimson color with bright shades. The wine offers a stunning aromatic complexity. It exudes fragrances of small berries, with hints of mulberries and blackberries. All roundness, rich and deep, perfectly well-balanced, it reveals melted and classy tannins. The finish is silky and lingering, definitely a great wine.  Vintage in image may vary. Refer to wine facts for current vintage.",,Yes,"Cabernet Sauvignon, Merlot",Manual,,"Pair with beef, lamb and game","Long Finish, Medium-bodied, Rich, Silky Tannin","CHÂTEAU  PEYREDON LAGRAVETTE 2021- Haut Medoc Cru Bourgeois, Bordeaux - France",Black Berries,,,50.0,Chateau Peyredon Lagravette Cru Bourgeois,Red Wine,13800,,Bordeaux,,BO46,2021,750,"Stephane Dupuch, Hubert de Bouard",Medium Acidity
,Aged for 12 months in new  oak barrels: 20% French and 80% American. 6 months in bottle before release.,14%,30 YEAR,Serve with cheese,ARGENTINA,,"Fairly round and inviting. Slightly firm around the edges and plenty of fruit. Very sweet, but consistent tannins.",,"Cold maceration takes place before fermentation for 48 hours.The winemaking process is carried out in stainless steel tanks and  macerated for15 to 20 days. After malolactic fermentation, wine is aged for 12 months in new  oak barrels: 20% French and 80% American. The wine is aged for  6 months in bottle before release.",Malbec,By Hand,Serve with pasta,Serve with red meat,"Fruity, Medium-bodied, Round, Soft Tannin","PASCUAL TOSO 2022 - Malbec Reserva - Barrancas, Maipu - Argentina","Dark Fruit, Spices, Black Berries",,,50.0,Bodegas y Vinedos Pascual Toso,Red Wine,60 quintal/ha,,Mendoza,,AR58,2022,750,Paul Hobbs - Consultant Winemaker / Felipe Stahlschmidt - Resident Winemaker,Medium Acidity
,10 months in french oak barrels,"13,,,",,,FRANCE,,"Pinot Noir La LOUVE WOLFBERGER shows a black cherry colour with deep ruby tints. With great aromatic intensity, the nose presents tones of red fruits (blackberry, blackcurrant), vanilla and toasted aromas. The palate is ample, well-structured and well-balanced, with flavours of fruits and roasted coffee on the finish.   Vintage in image may vary. Refer to wine facts for current vintage.",,Fermented in open top fermentors,Pinot Noir,Manual - harvested by hand,,"Pairs well with slow cooked red meat game, bbq beef ribs, or a steak with pepper sauce.","Balanced, Fruity, Medium-bodied, Oaky, Structured","WOLFBERGER ""La Louve"" 2021 - Pinot Noir - Alsace - France","Dark Fruit, Red Berries, Toasted, Vanilla, Red Fruits",,,50.0,Wolfberger,Red Wine,,,Alsace,,AL17,2021,750,Emilie Lejour,Solution: Medium Acidity
,The wine is aged in concrete tanks.,14.00%,80 yrs,Pair with selected cheese,FRANCE,,"The combination of a high percentage of Grenache, together with Mourvèdre is a very successful and flattering duo. The grenache brings roundness, cherry, liquorice, some cocoa and silky tannins. The mourvedre kicks in starting the mid palate with exotic spices, followed by structure and length.  Vintage in image may vary. Refer to wine facts for current vintage.",,"To extract all the tasty aromas of the grapes, we do a cold pre-maceration, followed by a vinification a reduced temperature of 20 to 30 days with  several treadings to enhance the skin-juice contact and the development of a maximum of aromas",,Mechanic,,"Pair with small game, matured beef, marinated meats",,"DOMAINE BRUNELY 2021- Gigondas, Rhône - France",,,,52.0,,Red Wine,,,,,RH108,2021,750,,Medium Acidity
,9 months in oak.,13.5%,18 years,,NEW ZEALAND,3000 vines per hectare,"Garnet colour. This delicious, feminine Pinot Noir exudes lifted aromas of cherry and ripe red berry fruits. The palate shows a lighter touch, yet is juicy and complete, finishing with firm tannins that sit in wonderful harmony with the fruit and acidity. Pair with red meats, mushroom-based dishes or hearty fish like salmon.",,"Certified organic grapes were harvested by machine and fermented in small open top fermenters. The caps were plunged twice daily. After a period of 14 – 21 days, the batches were pressed off. The wine went through malolactic fermentation and remained aging for 7 months before it was blended and filtered prior to bottling.",Pinot Noir,Machine,,"Delicious with most red meats, mushroom dishes or hearty fish like salmon.","Elegant, Fruity, Medium-bodied, Soft Tannin",MOMO 2023 - Pinot Noir - Marlborough - New Zealand,Red Fruits,,,52.0,Seresin Estate,Red Wine,,,Marlborough,,NZ06,2023,750,Tamra Kelly Washington & Nick Pett,Medium Acidity
"Organic Wine, Biodynamic Wine, Vegan Wine, 93 Bob Campbell","Stainless, with 10% for 5 months in neutral french oak puncheons",12.5%,18 years,Fresh goat cheese or feta,NEW ZEALAND,"3,000 vines/ha","This Sauvignon Blanc is subtle on the nose with warm notes of ripe yellow stone-fruit, soft passionfruit and chalky-mineral complexity. The palate is layered and finely textured, with ripe gooseberry, tropical and citrus notes, framed by mouthwatering acidity, which creates a persistent finish  Vintage in image may vary. Refer to wine facts for current vintage.",,Fermentation was carried out in stainless steel tanks with selected yeast strains,"Sauvignon Blanc, Semillon",Machine,"summer salads, dishes with citrusy notes, green vegetables cooked with fresh herbs, light pasta dishes (pesto).",,,SERESIN 2023 - Sauvignon Blanc  - Marlborough - New Zealand,,,,55.0,Seresin Estate,White Wine,9.7 Tonne/Hectare,,Marlborough,All seafood,NZ08,2023,750ml,Tamra Kelly-Washington,Medium Acidity
,2 to 5 years,12.5%,15-20 years,Enjoy with goat cheese,FRANCE,,Alert wine and full of fruit. Aromas that combine minerality and citrus fruit. The attack melts into a rich and round mouth.,,Settling between 12 to 24 hours and fermentation in temperature-controlled stainless steel vats. Storage in vats until bottling in February-March to preserve the aromas of the grape variety.,Sauvignon Blanc,Machine,,,"Dry, Fresh, Rich, Round","LA COLLINE AUX PRINCES 2022 - Sancerre, Loire Valley - France","Citrus, Fresh, Fruity, Mineral",,,55.0,Albert Besombes Moc Baril,White Wine,63hl/ha,,Loire Valley,"Enjoy with white fish, seafood",LO23,2022,,Frederic Moreau & Laurent Bourdin,Medium Acidity
,Stainless steel and oak aging,,40,Enjoy with a cheese platter.,FRANCE,,"Magnificent purple dress. Gourmet nose with notes of fresh blackcurrant and aromas of red fruits. Hint of vanilla and pepper. Round and supple attack, character with powerful tannins and a finish with roasted notes.",To be enjoyed with apple puddings.,,,,,"With roast rabbit with thyme, lamb sauté or veal kidneys.",,CHÂTEAU PONTET L'EGLISE 2021 - Saint-Émilion Grand Cru - Bordeaux - France,,,,55.0,,Red Wine,,,,,BO302,2021,750,,Medium Acidity
,New and Seasoned French oak hogsheads,14.5%,50+ years,We imagine drinking this wine with hard local cheeses the cheese is optional.,AUSTRALIA,"1,080/ha","Barossa blood red colour with a purple hue. On the nose, super blackberries and pure unadulterated 90% Cocoa chocolate. Black plums, macerated raspberry with hints of cracked pepper and brambly spice. Generous dark fruits on the palate, a full and frank Shiraz start. Classic Barossa. Generous, flavoursome with sweet blackberry pie and dark, dry cocoa mouth feel. The after palate begins with sweet berry fruit then tightens up with fine fruit and oak tannin. Sweet Christmas spice cuts through the hints of jamminess. On the finish, youthful austerity as you would expect from such a classic, old-school Shiraz. We imagine drinking this wine with hard local cheeses the cheese is optional.",,Primary fermentation takes place in a combination of stainless steel vats and 5 tonne open fermenters after which the wine is assembled into tank and allowed to complete a natural malo-lactic fermentation before being pressed off.,Shiraz,Machine,,,,"ZONTE'S FOOTSTEP ""Baron Von Nemesis"" 2021 - Shiraz - Barossa Valley - Australia","Chocolate, Dark Fruit, Fruity, Spices",,,55.0,Zonte's Footstep,Red Wine,,,Barossa Valley,,AU26,2021,,Ben Riggs and Brad Rey,Medium Acidity
,"Ageing for a total period of 5 yrs: depending on vintage, around 24 months depending on the vintage with another 3 years in bottle prior to release.",13.5%,10-30 years,"Cured cheeses, manchego.",SPAIN,3.000 strain/ha,"Ruby-red with garnet highlights. Fine and elegant bouquet, mellow flavours with a velvety texture and a lingering finish. Smooth, full bodied and well structured. Perfect with roast meats, game and cured cheeses.",,"Fermentation in stainless steel tanks , in contact with the skins at an average temperature of 25 ° C with daily pumping to unify various temperature and extract the best color.","Garnacha, Tempranillo","90% by hand , 10%  machining",,"Roasted or braised meats, game (pigeon, deer, boar). Spanish charcuterie like Jamon Iberico.","Elegant, Long Finish, Medium-bodied, Oaky, Silky Tannin, Structured, Smooth",FEDERICO PATERNINA 2013 - Rioja Gran Reserva - Spain,"Animal, Dark Fruit, Earthy, Oak",,,55.0,"Marques de la Concordia Family of Wines, S.L.",Red Wine,,,"Rioja, Rioja Reserva",,SP85,2013,,Carmelo Angulo,Medium Acidity
,10 months in oak + 9 months in bottle,13.5%,,,AUSTRALIA,,"Bright pale straw. Nougat and gunflint are complimented by fresh fruit aromas of lemon rind and lime, yellow peach fuzz and almond meal. Wild fermentation and high solids adds savoury characters together with well-balanced oak, capturing a unique Stella Bella personality, with a distinct southern Margaret River character. Generous flavours of peach, lemon, lime and grapefruit drives length and tension through the palate. The refreshing mineral acidity, created by the summer sea breezes blowing through our vineyards, captures an element of saltiness and a spring water liveliness, which leaves you wondering where the bottle went. Pair with pork dishes.  Vintage in image may vary. Refer to wine facts for current vintage.",,"100%wild, 100% oak",Chardonnay,Hand-picked,,"Pairs well with pork dishes, white meats, creamy dishes","Elegant, Minerals",STELLA BELLA 2023 - Chardonnay - Margaret River - Australia,"Citrus, Mineral, Stone Fruit",,,55.0,Stella Bella,White Wine,,,"Margaret River, Western Australia",,AU160,2023,750ml,"Luke Jolliffe, Jarrad Olsen",### Solution: Medium Acidity
Halliday Wine Companion 92 Points,Aging in 20% new French oak for 10mths,14.1%,,,AUSTRALIA,,"Dark red with vivid purple hues. Black and white pepper, dark red berries and whole bunch spice jump out of the glass, followed by subtle hints of delicious coffee char. A classic cool climate style of Shiraz, the wine is medium bodied with flavours of plum, mulberry and subtle spice. Gravelly tannins and fresh acidity drive the wine through your palate. The whole bunch inclusion helps to add complexity and spice leaving you with an intense mouth-filling and salivating finish. Pair with your favourite cut of beef cooked to perfection, with freshly cracked black pepper.",,"Whole bunch fermentation, during 8 days.",Shiraz,Manual & Mechanic,,Pair with your fabourite cut of beef cooked to perfection,"Complex, Fresh, Full-bodied, Powerful, Tannic",STELLA BELLA 2021 - Shiraz - Margaret River - Australia,"Dark Fruit, Red Berries, Spices, Toasted, Plum",,,55.0,Stella Bella,Red Wine,,,Western Australia,,AU162,2021,750,Steve Martin,Medium Acidity
,Cellaring potential 7 - 10 Years,11.50%,35,,GERMANY,"6,000 vines/ha","Fine dry wine made from crisp, healthy greenish-yellow grapes. Slow, cool fermentation. Lively and fresh Riesling with ""crunchy"" fruit and refreshing well balanced acidity. Delicately fruity with a mineral touch, not ""sweet"". All that delights the tongue and senses with great length and structure. Lots of flavor with a refreshing low ""weight"" of alcohol.",,"No maceration, cold fermentation",Riesling,Hand picked,,"Smoked meats, cold cuts, appetizers.","Balanced, Crisp, Dry, Medium-bodied","SELBACH-OSTER 2021 -  Kabinett Trocken Riesling - Zeltinger, Mosel","Fresh, Fruity, Mineral",,,56.0,Weingut Selbach-Oster,White Wine,"7,000 bottles",,Mosel,"Seafood, fish, appetizers.",GE20,2021,,"Johannes Selbach, Klaus-Rainer Schaefer",Medium Acidity
,"228L oak barrels used between 1 to 4 times , 40% new oak barrels. Maturing for 12 to 15 months in oak barrels during which natural malolactic fermentation takes place.",,,,FRANCE,,A beautiful deep garnet color with purplish highlights. A delicate nose of wooden notes combined with red and black fruits aromas. The palate is rich and powerful with silky tannins ending on a long lasting finish.  Vintage in image may vary. Refer to wine facts for current vintage.,,"Traditional vinification, after a severe sorting, the grapes are cooled in stainless steel vats for 5 to 7 days to reveal fruity aromas. Long fermentation in thermo-regulated stainless steel vats during which pigeages and pumping over are performed.",,,,"Pair with beef, game, veal and poultry",,MOILLARD 2022 - Bourgogne Pinot Noir 100% Fûts  - France,,,,56.0,Francois Martenot,Red Wine,,,,,BU125,2022,750,Baptiste Corrot,High Acidity
"Wine Spectator 90 Points, James Suckling 93 Points",12-15 years,9%,37,,GERMANY,"6,000 vines/ha","Light golden yellow. Bright and very juicy fruit, plus cool minerality from the slate rocks characterize this Kabinett wine. Full-flavoured, well-balanced Kabinett. Perfect accompaniment for savory and slightly spicy food this is also a great companion to be enjoyed “solo” or for evenings with friends.   Vintage in image may vary. Refer to wine facts for current vintage.","Grilled vegetables, Summer greens, Salads","No maceration, cold fermentation",Riesling,By Hand,,"Pork, Poultry, Savoury Asian dishes","Fresh, Light-bodied, Off-dry","SELBACH-OSTER 2021 - Riesling Kabinett - Zeltinger Scholssberg - Mosel, Germany","Fruity, Mineral, Stone Fruit, Toasty",,,56.0,Weingut Selbach-Oster,White Wine,"8,000 bottles",,Mosel,,GE16,2021,750,"Johannes Selbach, Christian Vogt",Medium Acidity
,Maturing in vats for 12 months. Ageing in bottle.,12.5%,20-30 years,,FRANCE,,"Crimson colour with bright deep purple reflects. The nose develops liquorice and violet notes. The palate is smooth, lively with stewed black fruits flavours and a spicy finish.  Vintage in image may vary. Refer to wine facts for current vintage.",,The fermentation lasts 20 days with temperature control to preserve aromas.,Syrah,Hand Picked,,It will pair nicely with brochette of beef marinated with spices.,,"GABRIEL MEFFRE ""Saint Pierre"" 2021 - Crozes-Hermitage, Rhône Valley - France",,,,56.0,Gabriel Meffre Winery,,,,Crozes-Hermitage,,RH71,2021,,Véronique Torcolacci,Medium Acidity
,12 months partial aging in new French oak barrels,14%,,,FRANCE,0.9,"The name of the cuvee ""Grand Mechant Loup"" is a word play: ""loup"" means ""wolf"" in French. Pic Saint Loup is the name of the wine appellation and it comes from the eponym mountain which dominates the terroir and influences the climate. So Vignoble Vellas created the Grand Mechant Loup ""The Big Bad Wolf"" for the red wine and Chaperon Rouge ""The Red Riding Hood"" for the rose wine. It also refers to the Pic Saint Loup land ""Garrigue"" (Mediterranean aromatic herbs and olive trees), which participate to the ""wild"" personality of the wines. Intense colour with purple hues, its aromatic nose evokes red fruits with a final on grilled notes and cocoa. Deep density during the tasting, velvet recalls the silk. Well integrated tannins provide a long and harmonious persistence.  Vintage in image may vary. Refer to wine facts for current vintage.",,Traditional vinification with strict temperature controls.,"Grenache, Mourvedre, Syrah",AUTOMATIC,,"Pair with red meats (beef, lamb), stews, game meat (wild boar, pheasant, deer)","Long Finish, Off-dry, Powerful, Rich","LE GRAND MECHANT LOUP 2023 - Pic Saint Loup, Languedoc AOC - France","Chocolate, Red Berries",,,56.0,VIGNOBLES VELLAS,Red Wine,Traditional,,Languedoc-Roussillon,,RH157,2023,750,VIGNOBLES VELLAS,### Solution:
